epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
58,9750.19,0.9251,0.70312,0.01092,0.6627,0.46604,0.49082,0.40308,0.96188,1.95909,0.01616,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,9916.6,0.91574,0.6992,0.01081,0.66461,0.47282,0.4825,0.39268,0.9574,1.9164,0.01563,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,10083.3,0.92753,0.69906,0.01057,0.61955,0.50435,0.47702,0.3878,0.95968,1.99284,0.01565,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,10250.3,0.9294,0.69479,0.01075,0.71861,0.47083,0.4994,0.39878,0.96618,1.90392,0.01647,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,10417.2,0.91112,0.67651,0.01072,0.73708,0.41569,0.48715,0.40362,0.95958,1.99779,0.01607,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,10583.6,0.90699,0.65605,0.01038,0.75197,0.41307,0.48117,0.40269,0.96491,1.88052,0.01658,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,10750.3,0.88068,0.63767,0.01034,0.65244,0.46233,0.48246,0.40848,0.97269,1.98085,0.01645,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,10916.3,0.88399,0.63706,0.01014,0.7097,0.44299,0.4769,0.40595,0.9784,2.05369,0.01626,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,11083,0.90236,0.64748,0.01028,0.75985,0.38919,0.47438,0.39695,0.99162,2.10483,0.01693,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,11249.4,0.8815,0.63121,0.01006,0.71776,0.38832,0.46799,0.3897,0.95333,2.08502,0.0157,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,11416,0.86803,0.61367,0.01003,0.71312,0.37333,0.45258,0.37331,0.95115,2.01675,0.01609,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,11582.6,0.86968,0.61641,0.00995,0.74985,0.37969,0.47627,0.38756,0.95581,2.0211,0.0162,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,11749.3,0.85497,0.60145,0.00977,0.64816,0.46199,0.47302,0.38114,0.95039,2.02381,0.01618,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,11916.3,0.85132,0.58653,0.00979,0.68609,0.43827,0.47755,0.38647,0.94124,2.04013,0.01584,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,12082.7,0.84517,0.59547,0.00973,0.72613,0.4055,0.47343,0.39901,0.93848,2.0883,0.01532,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,12249.6,0.83611,0.57485,0.00963,0.60701,0.47575,0.47459,0.39349,0.95206,2.09434,0.01576,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,12416.5,0.83529,0.57145,0.00958,0.78997,0.37053,0.47766,0.39505,0.95004,2.12467,0.016,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,12583,0.82017,0.55185,0.0095,0.75414,0.38121,0.47507,0.39298,0.94468,2.1194,0.01594,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,12749.7,0.84179,0.5563,0.00928,0.78979,0.37191,0.46781,0.39108,0.92907,2.06605,0.01593,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,12916.4,0.8217,0.55372,0.00927,0.80627,0.36538,0.46605,0.38761,0.92474,2.06258,0.0158,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,13082.8,0.81038,0.54789,0.00938,0.70898,0.42853,0.47553,0.38994,0.94785,2.06053,0.01604,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,13249.3,0.81247,0.54205,0.00923,0.6986,0.43666,0.47943,0.40187,0.95527,2.07331,0.01611,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,13415.4,0.78463,0.51163,0.00905,0.65269,0.44709,0.47036,0.39509,0.96469,2.10264,0.01648,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,13581.9,0.79195,0.51307,0.00896,0.6404,0.46845,0.47288,0.39725,0.9658,2.11652,0.01642,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,13747.9,0.8019,0.52325,0.00879,0.66278,0.45395,0.47502,0.39654,0.95164,2.11449,0.01635,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,13914.1,0.78249,0.50827,0.00869,0.62058,0.47587,0.47636,0.39814,0.9544,2.12344,0.01651,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,14080.8,0.78136,0.51594,0.00875,0.60858,0.48188,0.47416,0.39577,0.95881,2.11103,0.0165,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,14247.5,0.76266,0.49172,0.00871,0.80069,0.37483,0.4756,0.39446,0.95724,2.10696,0.01642,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,14414.2,0.76923,0.49374,0.00847,0.81374,0.38535,0.48191,0.40045,0.9571,2.09906,0.01655,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,14580.7,0.76767,0.4915,0.00866,0.79884,0.3865,0.48101,0.39764,0.95476,2.10672,0.01656,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
